artist_id	name
214	Dave Dee Dozy Beaky Mick and Tich
215	Syndicate Of Sound
216	The Association
217	Napoleon XIV / Hugo De Groot / Floris VI
218	Los Bravos
219	Georgie Fame
220	Twice As Much
221	Roek Williams en The Fighting Cats
222	Tee-Set
223	Cliff Bennett and The Rebel Rousers
224	Sandy Coast
225	Chris Montez
226	Ray Conniff / The Mike Sammes Singers / Willy Schobben & His Golden Trumpet And Orchestra
227	De Zangeres Zonder Naam
228	Stevie Wonder
229	Golden Earrings
230	Motions
231	The Sandpipers / Digno Garcia y Sus Carios
232	Chris Farlowe
233	Wilson Pickett
234	Cuby + Blizzards
235	Tommy Roe
236	Bobby Hebb / Cher / Georgie Fame
237	Suzie
238	Billy Stewart
239	John Lamers
240	Dave Dee Dozy Beaky Mick & Tich
241	Sandy Posey
242	Clinton Ford / The Kinks / Herman's Hermits
243	4 Tops
244	Tee Set
245	The New Vaudeville Band
246	The Monkees
247	Peter & Gordon
248	David Garrick
249	Ramses Shaffy
250	Bobby Darin
251	Bob Smit en Het Duke City Sextet
252	Cat Stevens
253	The Easybeats / The Dukes
254	Andy Fisher
255	Ike and Tina Turner
256	The Four Tops / Motions / The Four Tops
257	The Shoes
258	Reggy Van Der Burgt
259	Rob De Nijs
260	Julie Andrews & Christopher Plummer
261	The Cats
262	Dave Dee, Dozy, Beaky, Mick & Tich
263	Lily Kok
264	The Four Tops
265	The Condors
266	Rudy Bennett / Tim Hardin / Tim Hardin
267	The Royal Guardsmen
268	Albert Brosens en De Deurdouwers / Johnny Hoes / Karin Kent
269	The Skope
270	Cream
271	The Move
272	Frans Halsema
273	Engelbert Humperdinck
274	Jimi Hendrix
275	Paul Jones
276	Jacques Dutronc
277	Davy Jones
278	The Mamas & The Papas
279	Marvin Gaye & Kim Weston
280	The Sandy Coast
281	Petula Clark / Harry Secombe
282	Whistling Jack Smith
283	The Tremeloes
284	Jasperina De Jong
285	Armand
286	Aaron Neville
287	De Heikrekels
288	Hetty Blok en Leen Jongewaard
289	Gert & Hermien
290	Nancy & Frank Sinatra / Willy en Willeke Alberti
291	Andy Fisher / Alberto ((1967))
292	The Bee Gees / O'Hara's Playboys
293	The Turtles
294	Wally Tax
295	Thérèse Steinmetz
296	Dave Clark 5
297	The Supremes / Diana Ross and The Supremes
298	André Van Den Heuvel & Leen Jongewaard
299	Jimi Hendrix Experience
300	Ro-d-Ys
301	Rob Hoeke Rhythm & Blues Group
302	Arthur Conley
303	Searchers / The Five Americans
304	Rudy Bennett
305	Ronnie en The Ronnies
306	The Dubliners
307	The Bee Gees
