,song_id,name_song,listOfNames_song,artist_id,name_artist,listOfNames_artist,artistnames,trackName,trackID,albumID,artistIDs,explicit,popularity
7732,7732,Is It Good To You,['Is It Good To You'],3391,Heavy D and The Boyz,['Heavy D and The Boyz'],['Heavy D & The Boyz'],Is It Good To You,spotify:track:6RNOyiiGHFQ7lCHtFCUVQC,spotify:album:2an6aIBJgsoTV37uZKORhU,['spotify:artist:4KHdmkq99PXA6QEJ2lKpA3'],False,43.0
7733,7733,Don't Let The Sun Go Down On Me,"[""Don't Let The Sun Go Down On Me""]",3253,Oleta Adams,['Oleta Adams'],['Oleta Adams'],Don't Let The Sun Go Down On Me,spotify:track:4zEBzcsvksLHHEFVeWV0S7,spotify:album:7w427SqupzQ11Vu0GMIAS2,['spotify:artist:1BMb6sQJVkmUyCuodmRs2g'],False,26.0
7734,7734,Vrienden Voor Het Leven,['Vrienden Voor Het Leven'],2463,Danny De Munk,['Danny De Munk'],['Danny De Munk'],Vrienden Voor Het Leven,spotify:track:1IgbjcfU7QVPzT2pYYslZy,spotify:album:10iymBZ8kNZ1rWvQpZb4pj,['spotify:artist:5Mww2P8ni50lmfOTsBmGHn'],False,29.0
7735,7735,James Brown Is Still Alive!!,['James Brown Is Still Alive!!'],3429,Holy Noise featuring The Global Insert Project,"['Holy Noise featuring The Global Insert Project', 'Holy Noise ']","['Holy Noise', 'Global Insert Project']",James Brown Is Still Alive (Original 12-Inch Versions),spotify:track:5FBhYXSd24uaKkWaxbnKPK,spotify:album:0R9gOraFNDBdbtcsV6RXeF,"['spotify:artist:6q3iGdBcy9X628V3P1kcuW', 'spotify:artist:4BNRK4UbPuEsilmYE3rDhq']",False,12.0
7736,7736,The Show Must Go On,['The Show Must Go On'],1283,Queen,['Queen'],['Queen'],The Show Must Go On - Remastered 2011,spotify:track:5n6RDaGFSN88oRWuGtYAIN,spotify:album:5kffKW0sSLo6tkLg1veUGC,['spotify:artist:1dfeR4HaWDbWqFHLkxsg1d'],False,65.0
7737,7737,Caribbean Blue,['Caribbean Blue'],3043,Enya,['Enya'],['Enya'],Caribbean Blue,spotify:track:6qNQcYitWE3mY2WDaTv6Kc,spotify:album:6GWptUmmrWPABTWSed7Ow8,['spotify:artist:6uothxMWeLWIhsGeF7cyo4'],False,56.0
7738,7738,Radio Wall Of Sound,['Radio Wall Of Sound'],893,Slade,['Slade'],['Mick White'],Radio Wall Of Sound,spotify:track:5jtgInMZSpFW7vKkHhvqfS,spotify:album:3VDM3q6uz9MLLfVbydBuV9,['spotify:artist:561FtPvXMyp4DAKuV8AaZ6'],False,10.0
7739,7739,Over And Over Again,['Over And Over Again'],3430,Robby Valentine,['Robby Valentine'],[None],,,,[None],,
7740,7740,Heavy Fuel,['Heavy Fuel'],1759,Dire Straits,['Dire Straits'],['Dire Straits'],Heavy Fuel,spotify:track:7keec3r0qRzMJw1tfr28uH,spotify:album:104hTimjqMxVk3qH8Nf7I4,['spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T'],False,47.0
7741,7741,Hitmedley,['Hitmedley'],3255,Corry Konings,['Corry Konings'],['Corry Konings'],Hitmedley (edit),spotify:track:4gVdy1OHvFXXkCaBUH6jku,spotify:album:197jKUMQ0gqRHNhhogTv47,['spotify:artist:3pqfZ3xfayx6qJWcsVcXnS'],False,6.0
7742,7742,Gimme Some (Swing It Baby),"['Gimme Some (Swing It Baby)', 'Gimme Some ', 'Swing It Baby', 'Gimme Some Swing It Baby']",3189,Tony Scott,['Tony Scott'],[None],,,,[None],,
7743,7743,Obsession,['Obsession'],3411,Army Of Lovers,['Army Of Lovers'],['Army Of Lovers'],Obsession,spotify:track:7kDOMFX3JNYIKvrQqftOwY,spotify:album:1wNga1473i3Ido5WXDk2LB,['spotify:artist:3JXnjuv4hBqQKOVzJg74Lt'],False,31.0
7744,7744,Under Pressure,['Under Pressure'],3431,Boyz II Men featuring Tony Scott,"['Boyz II Men featuring Tony Scott', 'Boyz II Men ']",['Boyz II Men'],Under Pressure,spotify:track:3hm3ulqhcGHbj5tepmSHcD,spotify:album:0hizzarWYWhBfygpvfFOnt,['spotify:artist:6O74knDqdv3XaWtkII7Xjp'],False,23.0
7745,7745,Spending My Time,['Spending My Time'],3096,Roxette,"['Roxette', 'Ro']",['Roxette'],Spending My Time,spotify:track:18eqtLHIuDSnx54o0IRUy0,spotify:album:5Q4kTNheoI86WVk1YQKt4x,['spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY'],False,60.0
7746,7746,Black Or White,['Black Or White'],1069,Michael Jackson,['Michael Jackson'],['Michael Jackson'],Black or White - Single Version,spotify:track:2Cy7QY8HPLk925AyNAt6OG,spotify:album:77dNyQA0z8dV33M4so4eRY,['spotify:artist:3fMbdgg4jU18AjLCKBhRSm'],False,69.0
7747,7747,Ring My Bell,['Ring My Bell'],3399,DJ Jazzy Jeff & The Fresh Prince,['DJ Jazzy Jeff & The Fresh Prince'],['DJ Jazzy Jeff & The Fresh Prince'],Ring My Bell,spotify:track:5l7XmwM537PxROfhKfpBjc,spotify:album:2ELLswCKdQXUWbWxhaAklh,['spotify:artist:1mG23iQeR29Ojhq89D5gbh'],False,28.0
7748,7748,I Love Your Smile,['I Love Your Smile'],3432,Shanice,['Shanice'],['Shanice'],I Love Your Smile,spotify:track:4lwUpqUd1uZKve6swy9SM7,spotify:album:1mh5aMRskPvGMBx4E3Vgcc,['spotify:artist:0Ttph0pOZiPNTD3y2wUUb6'],False,50.0
7749,7749,Go,['Go'],3433,Moby,['Moby'],['Moby'],Go (Radio Edit),spotify:track:6m97Mu089F0rYcvggzwS2W,spotify:album:56kI0i0Zght0OYNwFwJL50,['spotify:artist:3OsRAKCvk37zwYcnzRf5XF'],False,40.0
7750,7750,Turn Da Music Up,['Turn Da Music Up'],3434,2 Brothers On The 4th Floor ft. Da Smooth Baron MC introducing Gale Robinson,"['2 Brothers On The 4th Floor ft. Da Smooth Baron MC introducing Gale Robinson', '2 Brothers On The 4th Floor ']",['2 Brothers On The 4th Floor'],Turn Da Music Up,spotify:track:65fsyxyLg7TErbZ0Spjy6k,spotify:album:78eNZM8mxEMX8IHJcDerwZ,['spotify:artist:5wsBGjgRsASMggXLPF7pYm'],False,11.0
7751,7751,Stro-Race,"['Stro-Race', 'Stro']",3375,Mannenkoor Karrespoor,['Mannenkoor Karrespoor'],['Mannenkoor Karrespoor'],Stro-Race,spotify:track:67M9MpCEcMcZjv6rwV2GXi,spotify:album:2r2teE3cNU7SVL8fKG2RX9,['spotify:artist:43DvNhTkMxGgYFd7k6KbMe'],False,14.0
7752,7752,Smells Like Teen Spirit,['Smells Like Teen Spirit'],3435,Nirvana ((USA)),"['Nirvana ((USA))', 'Nirvana ']",['Nirvana'],Smells Like Teen Spirit,spotify:track:1f3yAtsJtY87CTmM8RLnxf,spotify:album:2uEf3r9i2bnxwJQsxQ0xQ7,['spotify:artist:6olE6TJLqED3rqDCT0FyPh'],False,78.0
