song_id	name
240	Ik Heb Geen Zin Om Op Te Staan
241	Ik Heb Me Weer Vergist
242	Taste Of Honey
243	I'll Cry
244	We Can Work It Out/ Day Tripper
245	I Hear A Symphony
246	To Whom It Concerns
247	Till The End Of The Day
248	The Rolling Stones [EP]
249	How Can You Tell
250	Take Me For What I'm Worth
251	Wind Me Up (Let Me Go)
252	Tormented
253	Morgen Ben Ik De Bruid
254	'n Glaasje Madera M' Dear?
255	The Sounds Of Silence
256	Ganz In Weiss
257	Les Marionnettes
258	Michelle
259	That Day
260	Baldheaded Woman (No Sugar In My Coffee) / Baldheaded Woman
261	Tijuana Taxi/ Spanish Flea
262	As Tears Go By
263	Tjingeling
264	This Golden Ring
265	If You Wait For Love
266	Keep On Running
267	Midnight To Six Men
268	Such A Cad
269	Barbara Ann
270	19th Nervous Breakdown/ As Tears Go By
271	There's No Place To Hide/ Everything (That's Mine)
272	Fernando En Filippo (Tong-Tiki-Tong)
273	These Boots Are Made For Walkin'
274	Glaasje Op...Laat Je Rijden
275	Breakin' Up Is Breakin' My Heart
276	My Love
277	Tomorrow
278	Crying Time
279	Second Hand Rose
280	Sien
281	Love's Just A Broken Heart
282	Ard En Keessie
283	You're The Victor
284	Giddy Up Go
285	Cry Me A River
286	You Were On My Mind
287	Sha-La-La-La-Lee
288	Dedicated Follower Of Fashion
289	Merci Cherie
290	A Groovy Kind Of Love
291	Set You Free This Time
292	Tearoom-Tango (Je hebt me belazerd)
293	My Girl
294	Inside-Looking Out
295	Spanish Eyes
296	Homeward Bound
297	Moon Over Naples
298	Three's A Crowd (Pop-Art)
299	Woman
300	Te Laat
301	Ik Ben Gelukkig Zonder Jou
302	Daydream
303	Welterusten Mijnheer De President
304	Substitute
305	I Can't Let Go
306	The Ballad Of The Green Berets
307	Kejje Nagaan
308	The Sun Ain't Gonna Shine Any More
309	Blue Turns To Grey
310	Somebody Help Me / Somebody Help Me [EP]
311	Bang Bang (My Baby Shot Me Down)
312	Sloop John B
313	Pied Piper / The Pied Piper
314	Hundert Mann Und Ein Befehl
315	Corsica D'Amore
316	A Legal Matter
317	Why Don't You Take It/ My Love Is Growing
318	Juanita Banana
319	Trouw Niet Voor Je Veertig Bent
320	Soul & Inspiration
321	That's Nice
322	I Put A Spell On You
323	How Does That Grab You, Darlin'?
324	Eine Kleine Träne
325	If You Leave Me
326	Take It Or Leave It
327	You Don't Have To Say You Love Me
328	Come See Me
329	Shapes Of Things
330	Together Again
331	Monday Monday
332	Rainy Day Women # 12 & 35
333	Pretty Flamingo
334	Bad Boy [EP]
335	Paint It, Black ((1966)) / Paint It Black - Titelsong Tour Of Duty ((1990))
336	I Know
337	Strangers In The Night
338	Shotgun Wedding
339	Russian Spy And I
340	Lying All The Time
341	When A Man Loves A Woman
342	Wild Thing
343	Patsy Girl
344	Eight Miles High
345	I Am A Rock
346	Did You Ever Have To Make Up Your Mind?
347	Ella - Ella (Girisse)
348	The Life I Live
349	Don't Bring Me Down
350	Nothing Comes Easy
351	Paperback-Writer
352	Sorrow
353	La Poupée Qui Fait Non
354	Something You Got
355	Margio
356	Fijn Op Terschelling
357	Sunny Afternoon
358	Oh, Oh What A Kiss / Oh Oh What A Kiss
359	It's A Man's Man's Man's World
360	Over Under Sideways Down
361	I'll Be Free
362	River Deep-Mountain High
363	Jimmy Walker
364	Bus Stop
365	Lana
366	You Gave Me Somebody To Love
367	Ring, Ring, I've Got To Sing
368	Lady Jane
369	Nobody Needs Your Love
370	Mama
371	(Baby) You Don't Have To Tell Me
372	Hanky Panky
373	Dans Je De Hele Nacht Met Mij?
374	Hideaway
375	Little Girl
376	Marie
377	With A Girl Like You
378	I Want You
379	5D (Fifth Dimension)
380	Along Comes Mary
381	Love Letters
382	Summer In The City
383	They're Coming To Take Me Away, Ha, Haaa! / Ze nemen me eindelijk mee / Ze nemen me eindelijk mee, ha-haa!
384	Black Is Black
385	Get Away
386	I Saw Her Again
387	Sittin' On A Fence
388	Hi-Lili, Hi-Lo
389	Yellow Submarine/ Eleanor Rigby
390	Mother's Little Helper
391	Take Your Time
392	Early In The Morning
393	Vision
394	God Only Knows
395	Keep On Trying
396	Got To Get You Into My Life
397	Little Red Riding Hood
398	We'll Meet Again
399	A House In The Country
400	L'amour Avec Toi/ Love Me Please Love Me
401	The More I See You
402	Lara's Theme (Somewhere, My Love) / Somewhere My Love (Lara's Theme From Film "Dr. Zhivago") / Somewhere My Love - Lara's Theme
403	All Or Nothing
404	Jongens Van Achttien Jaar
405	Sunshine Superman
406	Blowin' In The Wind
407	Daddy Buy Me A Girl
408	Every Step I Take
409	Guantanamera
410	Out Of Time
411	Just Like A Woman
412	Too Soon To Know
413	Land Of 1000 Dances
414	Back Home (A Man)
415	Sweet Pea
416	I'm A Boy
417	You Can't Hurry Love
418	Sunny
419	De Wereld Is Leeg Zonder Jou
420	Janosh
421	Little Man
422	Summertime
423	Ik Bewonder Jou
424	Bend It!
425	Distant Drums
426	Born A Woman
427	I Don't Care
428	Dandy
429	Have You Seen Your Mother, Baby, Standing In The Shadow
430	Reach Out I'll Be There
431	Believe What I Say
432	Mr. Spaceman
433	Winchester Cathedral
434	I Can't Control Myself
435	Last Train To Clarksville
436	Lady Godiva
437	Dear Mrs. Applebee
438	When People Talk
439	No Milk Today
440	I Despise You/ Ann
441	Sammy
442	Drunken Sailor
443	If I Were A Carpenter
444	Stop Stop Stop
445	Good Vibrations
446	Rain On The Roof
447	Als Vrouw
448	Ik Ben Je Kwijt
449	Time Drags By
450	Don't Run Too Far
451	Ave Maria No Morro
452	I Love My Dog
453	Touch
454	Gimme Some Lovin
455	Semi-Detached Suburban Mr. James
456	Come On Boy Join The Army
457	Friday On My Mind
458	Mellow Yellow
459	Mister Cannibal
460	A Love Like Yours (Don't Come Knocking Everyday)
461	You Keep Me Hangin' On
462	Dead End Street
463	It's The Same Old Song ((1966)) / It's The Same Old Song/ Someday Child ((1966)) / It's The Same Old Song ((1971))
464	Standing And Staring
465	Green, Green Grass Of Home
466	Teddybeer
467	Anna Paulowna
468	Sorry She's Mine
469	A Place In The Sun
470	My Mind's Eye
471	Willow Weep For Me
472	Edelweiss
473	East West
474	The Knight In Rusty Armour
475	What A Crazy Life
476	That's Life
477	Happy Jack
478	Save Me
479	I'm A Believer
480	Any Way That You Want Me
481	True Story
482	In The Country
483	Mensen, Geeft Elkaar Een Hand
484	Working On A Tsjing Tsjang
485	Standing In The Shadows Of Love
486	Het Land Van Maas En Waal
487	Tomorrow
488	How Can We Hang On To A Dream / Hang On To A Dream / How Can We Hang On To A Dream - Titelsong Uit De Film "Zoeken Naar Eileen"
489	Hello Buona Sera
490	Let's Spend The Night Together/ Ruby Tuesday
491	Snoopy vs. The Red Baron
492	Matthew And Son
493	Nashville Cats
494	Don't You Leave
495	From Above
496	Jelle Zal Wel Zien / Waar We Heen Gaan.... Jelle Zal Wel Zien / Jelle Sal Wel Sien
497	Be Mine Again
498	I Feel Free
499	Sitting In The Park
500	Night Of Fear
501	De Laatste Tango
502	I'm A Man
503	Release Me
504	The Beat Goes On
505	Hey Joe
506	I've Been A Bad Bad Boy
507	Les Playboys
508	Na-Na-Na
509	You Go Your Way
510	Words Of Love
511	Allemaal Op De Bok
512	Strawberry Fields Forever/ Penny Lane
513	Monkey On Your Back
514	It Takes Two
515	On A Carousel
516	Love Is Here And Now You're Gone
517	There's A Kind Of Hush
518	A Girl Like You
519	This Is My Song
520	Detroit City
521	I Won't Come In While He's There
522	I Was Kaiser Bill's Batman
523	Here Comes My Baby
524	De Wandelclub
525	Ben Ik Te Min
526	Give It To Me
527	Tell It Like It Is
528	Epistle To Dippy
529	Waarom Heb Jij Me Laten Staan?
530	I've Found A Love
531	M'n Opa
532	Olé In Mexico
533	Inch' Allah
534	Just For Fun
535	So You Want To Be A Rock 'n' Roll Star
536	Somethin' Stupid / Dat Afgezaagde Zinnetje
537	Darling Be Home Soon
538	Fandango - The Crazy Bull / Fandango (Crazy Bull Fandango)
539	Ta, Ta, Ta, Ta
540	Touch Me, Touch Me
541	In My House
542	Spicks & Specks / Spicks And Specks
543	I Want You, I Need You
544	Bernadette
545	A Little Bit Me, A Little Bit You
546	Happy Together
547	Dedicated To The One I Love
548	Please Call Me
549	It's All Over
550	Puppet On A String
551	I Sat And Thought And Wondered Why
552	Onder Ons
553	Vive L'amour
554	World Of Birds
555	Ha! Ha! Said The Clown
556	Speel 't Spel
557	You Got What It Takes
558	Mr. Pleasant
559	The Happening
560	Op Een Mooie Pinksterdag
561	I'm Gonna Get Me A Gun
562	Purple Haze
563	Funny Familiar Forgotten Feelings
564	Take Her Home
565	A Certain Misunderstanding
566	I Can Hear The Grass Grow
567	What Is Soul
568	Peace And Privacy
569	Sweet Soul Music
570	Pictures Of Lily
571	Western Union
572	Summer Is Here
573	My Back Pages
574	Silence Is Golden
575	Then I Kissed Her
576	Amy
577	Beestjes...
578	Waterloo Sunset
579	Seven Drunken Nights
580	New York Mining Disaster 1941
581	When I Was Young
582	Bottleparty
583	Everybody's Day
584	Hi Ho Silver Lining
585	There Goes My Everything
586	Groovin'
587	Okay!
588	A Whiter Shade Of Pale ((1967)) / A Whiter Shade Of Pale [Maxi-Single] ((1972))
589	The Wind Cries Mary
590	7 Rooms Of Gloom
591	6 O'Clock
592	Carrie Anne
593	Jij Bent Voor Mij Alleen!
594	Here We Go Again
595	Respect
596	I'll Come Runnin'
597	Paper Sun
598	She'd Rather Be With Me
599	Strange Brew
600	Gloria
601	Night Of The Long Grass
602	Here Come The Nice
603	San Francisco (Be Sure To Wear Flowers In Your Hair)
604	Creeque Alley
605	All You Need Is Love
606	Just Fancy
607	Sure He's A Cat
608	Another Day, Another Road
609	Jackson
610	Sound Of The Screaming Day
611	Mexican Whistler
612	I Take It Back
613	Alle Leuke Jongens Willen Vrijen
614	Moet Je M'n Zuster Zien
615	Death Of A Clown
616	If I Were A Rich Man
617	To Love Somebody
618	Tramp
619	C'mon Marianne
620	Ave Maria
621	Alternate Title
622	Je Bent Niet Hip
623	I Was Made To Love Her
624	I'll Never Fall In Love Again
625	I've Been Lovin' You So Long
626	Gin House Blues
627	Light My Fire
628	Heroes And Villains
629	Even The Bad Times Are Good
630	A Bad Night
631	The World We Knew (Over And Over)
632	Now's The Time
633	Tallyman
634	The House That Jack Built
635	Hi Hi Hazel
636	We Love You/ Dandelion
637	Time Seller
638	Itchycoo Park
639	The Day I Met Marie
640	Let's Forget What I Said
641	Blommen, Kinders
642	The Last Waltz
643	San Franciscan Nights
644	Brown Eyed Girl
645	De Kinderen Zijn Niet Schuldig
646	Soul Finger
647	Excerpt From A Teenage Opera
648	Reflections
649	Dream Man
650	Pleasant Valley Sunday
651	Wonderful Impressions/ Nellie The Horse
652	Burning Of The Midnight Lamp
653	Ode To Billie Joe
654	Picknick
655	Hole In My Shoe
656	Ik Wil Alleen Maar Van Je Houden!
657	There Is A Mountain
658	Massachusetts
659	Farewell In The Rain
660	Flowers In The Rain
661	Don't Go Out Into The Rain (You're gonna melt, sugar)
662	The Letter
663	Melodia (Horst Du Mein Heimliches Rufen)
664	My World Fell Down/ Tomorrow Is Another Day
665	Twelve Thirty (12:30)
666	You Keep Me Hanging On
667	And Her Name Is...
668	From The Underworld
669	Not Just A Flower In Your Hair
670	Let's Go To San Francisco
671	Mama
672	King Midas In Reverse
673	Homburg
674	Together We Live Together We Love
675	Funky Broadway
676	Jij..... Alleen
677	What Is The World Coming To
678	De Bostella
679	A Banda
680	Autumn Almanac
681	Tonight Will Be Stoned
682	Don't You Worry About Me
683	Zai Zai Zai
684	Love Is All Around
685	Zabadak
686	Soul Man
687	Baby, Now That I've Found You
688	Days Of Pearly Spencer
689	Monja
690	What Can I Do
691	I 'm Wondering
692	I Can See For Miles
693	Wat Moet Ik Doen?
694	Holiday
695	Everybody Knows
696	Pata Pata
697	All My Love
698	Nothing To Change A Mind
699	Hello, Goodbye
700	Wild Honey
701	Glad To Be Unhappy
702	De Ouwe Jacob
703	Day Dream Believer
704	Shame
705	Tango Bleu (Ik voel me zo beklemd ...)
706	A Walk In The Sky
707	Yesterday
708	Magical Mystery Tour
709	I See The Rain
710	I'm Coming Home
711	Distant Smile
712	Paradise Lost
713	World
714	2000 Light Years From Home/ She's A Rainbow
715	Little Bird
716	Let The Heartaches Begin
717	Foxy Lady
718	If I Promise
719	Susannah's Still Alive
720	Dear Eloise
721	Mother No-Head
722	Nights In White Satin
723	We Will Be There After Tea
724	Tea Is Famous (In The Whole Wide World)
725	Tin Soldier
726	Here We Go Round The Mulberry Bush
727	Baby, Come Back
728	Thank U Very Much
729	Something's Gotten Hold Of My Heart
730	Darlin'
731	Mien Waar Is M'n Feestneus?
732	Judy In Disguise (With Glasses)
733	'k Hoop Dat Jij Eens Wacht Op Mij!
734	Am I That Easy To Forget
735	Walk Away Renee
736	The Ballad Of Bonnie And Clyde
737	Celestial Dreams
738	Bend Me, Shape Me
739	Sleep, Sleep, Sleep
740	Lou-Lou
741	Het Vissersmeisje
742	Chain Of Fools
743	Unchained Melody
744	Confusion In My Mind
745	Mama Vertel Me/ Mijn Vriendinnetje
746	Everlasting Love
747	Mighty Quinn
748	I'm So Proud
749	It's The End
750	Green Tambourine
751	De Fanfare (A Banda) / Fanfare - A Banda / De Fanfare
752	Waar Is De Neus Van Toon?
753	Words
754	Pictures Of Matchstick Men
755	I Get So Excited
756	Turn Around And Start Again
757	Everything I Am
758	(Sittin' On) The Dock Of The Bay
759	Don't Stop The Carnival
760	Back On My Feet Again
761	Sunshine Of Your Love
762	Monterey
763	De Kat Van Ome Willem
764	I Thank You
765	The Legend Of Xanadu
766	Prikkebeen
767	L'amour Est Bleu
768	Delilah
769	Golden Earrings
770	No Money For Roses
771	Corriamo
772	The Holy City
773	Kom Uit De Bedstee Mijn Liefste
774	Cinderella Rockefella
775	Storybook Children
776	Roosmarie
777	Drinking On My Bed
778	Lady Madonna
779	In Een Rijtuigje
780	If I Were A Carpenter
781	Rosie
782	Fire Brigade
783	Simon Says
784	Congratulations
785	Kiss Me Goodbye
786	What A Wonderful World
787	Jennifer Juniper
788	I've Just Lost Somebody
789	Valleri
790	(Sweet Sweet Baby) Since You've Been Gone
791	Belle Et Sebastien - Générique L'oiseau
792	Jennifer Eccles
793	La Felicidad / Pa Wil Niet In Bad (La Felicidad) / Felicidad, De Roddel Van De Stad
794	Police On My Back
795	Hush
796	Funkystreet
797	Theme Up The Junction
798	Stay Away/ U.S. Male
799	Forever Came Today
800	Jumbo/ The Singer Sang His Song
801	La La La
802	Wonder Boy
803	Take Time To Know Her
804	Il Est Cinq Heures, Paris S'éveille
805	Quite Rightly So
806	Ups And Downs
807	Lazy Sunday
808	Black Veils Of Melancholy
809	Rainbow Valley
810	If I Only Had Time
811	A Man Without Love
812	This Wheel's On Fire
813	Snowflakes On Amsterdam
814	I See Your Face Again
815	Bloemen Voor De Vrouw Waar Ik Van Hou
816	Sister Theresa/ Sunday Will Never Be The Same
817	Summertime Blues
818	Captain Of Your Ship
819	Rainbow
820	Call Me Lightning
821	Jedan Dan
822	Man's Life
823	I Can't Let Maggie Go
824	Ich Bau' Dir Ein Schloss
825	Young Girl
826	Mamma, Oh Mamma
827	The Good, The Bad And The Ugly
828	Honey
829	Hello, How Are You?
830	Mrs. Robinson
831	Jumpin' Jack Flash
832	Moest Dat Nou
833	Helule Helule
834	The Happy Song (Dum-Dum)
835	Blue Eyes
836	Think
837	Camp
838	You Don't Know What You Mean To Me
839	The Unknown Soldier
840	Rock Around The Clock
841	The Muffin Man
842	Times Were When
843	Mony Mony
844	Laurel And Hardy
845	Because I Love You
846	The Hurdy Gurdy Man
847	My Name Is Jack
848	This Guy's In Love With You
849	Yummy, Yummy, Yummy
850	Lincoln County
851	Sunny Girl
852	Honest Papas Love Their Mamas Better
853	Tip-Toe Thru' The Tulips
854	People Sure Act Funny
855	Anyone For Tennis
856	Angel Of The Morning
857	Day's
858	Ik Kan Geen Kikker Van De Kant Afduwen
859	Mac Arthur Park
860	Callow-La-Vita
861	Bring A Little Lovin'
862	Help Yourself / Dans Met Mij
863	Dong-Dong-Di-Ki-Di-Gi-Dong
864	The Universal
865	Abergavenny
866	Do It Again
867	Hush... Not A Word To Mary
868	Nathaliê
869	Last Night In Soho
870	Hello, I Love You, Won't You Tell Me Your Name?
871	Oh, Lola!
872	Amen/ Hard To Handle
873	Fire
874	Lady Willpower
875	The Son Of Hickory Holler's Tramp
876	Rain And Tears
877	America (2nd Amendment)
878	I Ain't Got Time
879	Costa Brava
880	Someone Out There
881	I've Gotta Get A Message To You
882	Get Ready
883	Yesterday Has Gone
884	Alouette
885	Waterdrager
886	Alice Long (You're Still My Favorite Girlfriend)
887	Classical Gas
888	Gotta See Jane
889	Ice In The Sun
890	Don't You Cry For A Girl
891	Can't You Find Another Way (Of Doing It)
892	I Say A Little Prayer
893	Light My Fire
894	People Got To Be Free
895	Here Comes The Judge
896	Hey Jude
897	Those Were The Days
898	Lovely Loretta
899	Soul Limbo
900	On The Road Again
901	Street Fightin' Man ((1968)) / Street Fighting Man [33⅓ MaxiStereo] ((1971))
902	Only One Woman
903	This Rose In My Hand
904	King Croesus
905	Girl Of Independent Means
906	Lucy Brown Is Back In Town
907	Need Your Love So Bad
908	Window Of My Eyes
909	Michaela
910	Ciao Baby
911	Waiting For You
912	Born To Be Wild
913	My Little Lady
914	Les Bicyclettes De Belsize
915	Sour Milk Sea
916	Hold Me Tight
917	The Weight
918	La Bambola
919	Heidschi Bumbeidschi
920	I've Got Dreams To Remember
921	With A Little Help From My Friends ((1968)) / With A Little Help From My Friends [Maxi-Single] ((1972))
922	Listen To Me/ Do The Best You Can
923	Ik Ben Met Jou niet Getrouwd
924	Lovely Rita
925	Love in Copenhagen (Thema Uit De N.C.R.V.-Tv Serie: "Glazen Stad")
926	Mooier Dan Rode Rozen
927	I Found A True Love
928	White Room
929	All Along The Watchtower
930	The Music Box
931	Heintje (Baue Ein Schloss Für Mich)
932	Jezamine
933	Feelin' Alright?
934	Marianne
935	My Way Of Life
936	Soul Party
937	Lea
938	Red Red Wine
939	Vader Is De Dader
940	Just A Little Bit Of Peace In My Heart
941	Starstruck
942	Battle Hymn Of The Republic
943	Ride My See-Saw
944	Henry The Horse
945	Nonnenkoor
946	Little Arrows
947	Oh, Oh, Wat Een Familie!!!
948	Softly, Softly
949	Eloise
950	Goodbye My Love/ I can't go on loving you
951	Een Pikketanussie
952	Love Child
953	Chewy Chewy
954	Jerushala'im Shel Zahav
955	Nothing But A Heartache
956	Hair
957	Going Up The Country
958	Ome Sjakie - Het Hele Zakie Loopt In Z'n Nakie
959	See Saw
960	Send Me A Postcard
961	In The Beginning
962	Lily The Pink
963	Son-Of-A Preacher Man
964	Ob-La-Di Ob-La-Da
965	Somebody's Taken Maria Away
966	Ain't Got No-I Got Life
967	Build Me Up Buttercup
968	De Glimlach Van Een Kind
969	Blackberry Way
970	Nostalgic Toilet
971	Bluebirds Over The Mountain
972	Albatross
973	In Your Life
974	Race With The Devil
975	Antoinette
976	Drinke Totteme Zinke (Lily The Pink)
977	Get Yourself A Ticket
978	I'm Gonna Make You Love Me
979	A Minute Of Your Time
980	Toy
981	I Started A Joke
982	Sabre Dance
983	Roly
984	I Heard It Through The Grapevine
985	Kiele, Kiele, Kiele ...
986	Fox On The Run
987	Something's Happening
988	Papa's Got A Brand New Bag
989	Ob-La-Di, Ob-La-Da
990	Spooky's Day-Off
991	Mona Lisa
992	Casatschok
993	Emptyness
994	Touch Me
995	Atlantis
996	Hey Jude
997	't Saunabad
998	Crimson And Clover
999	Maybe Tomorrow
1000	Casatschok
1001	Keep In Touch
1002	Soul Sister, Brown Sugar
1003	Crosstown Traffic
1004	Casatschok
1005	Ring Of Fire
1006	Frank Mills
1007	Capital Punishment
1008	Ik Weet Dat Jij Niet Nee Kan Zeggen
1009	Every Day I Have To Cry
1010	Hallo, Mijnheer Den Uil Je Onderbroek Is Vuil
1011	En We Drinken Tot We Zinken!
1012	One Road
1013	Baby Won't You Leave Me Alone
1014	Hallo Mijnheer De Uil
1015	Love Is Love
1016	The Way It Used To Be
1017	Muny, Muny, Muny
1018	Down Man
1019	Frank Mills
1020	All The Love In The World
1021	If Paradise Is Half As Nice
1022	To Love Somebody
1023	Long And Lonesome Road
1024	Oma'tje Lief
1025	Time Of The Season
1026	Je N'aurai Pas Le Temps (Thema Uit De T.V. Serie "Mens Durf Te Leven")
1027	Mary Is My Sweetheart Again
1028	First Of May
1029	Why
1030	Sorry Suzanne
1031	A Lover's Question
1032	Don Juan
1033	Casatschok
1034	She's Not There
1035	Where Do You Go To (My Lovely)
1036	De Chinees Doet Veel Meer Met Vlees
1037	I Can Hear Music
1038	Proud Mary
1039	Good Times (Better Times)
1040	Games People Play
1041	The Walls Fell Down
1042	Azzurro
1043	Daydream
1044	Ensemble
1045	The Last Seven Days
1046	Ich Sing' Ein Lied Für Dich
1047	De Laatste Dans
1048	Pinball Wizard
1049	5th Symphony Beethoven
1050	Michael And The Slipper Tree
