acousticness,danceability,duration_ms,energy,id,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0.452,0.385,173813,0.306,7cyOTirNS1rXygPulz9WR3,7.43e-06,0.128,-12.167,1,0.0297,173.377,3,0.546
0.374,0.357,159107,0.476,2fGe1krTxovW7xsgiaHkrN,4.65e-06,0.333,-9.592,1,0.036,113.403,4,0.468
0.51,0.731,143373,0.204,36Ew5C2l5r1GAZifRhp4YG,2.02e-05,0.0894,-18.934,1,0.0727,121.817,4,0.699
0.482,0.599,163200,0.511,1DVTwlo4nWm41i91rN4xqh,2.03e-05,0.306,-10.072,1,0.0294,88.229,4,0.779
0.309,0.726,146827,0.774,5UmxkHu1XuFUlqpRjgg8pT,0.0,0.118,-5.208,1,0.0314,75.295,4,0.929
0.353,0.604,187200,0.564,0tcjsZ8XL6zQvEqwXWu4jX,6.2e-05,0.227,-11.31,1,0.0291,106.606,4,0.781
0.702,0.576,141293,0.727,6k9DUKMJpWvu6eFG3O64Lg,0.0,0.324,-9.973,0,0.05,173.854,4,0.751
0.113,0.602,136987,0.965,6ONmtaVw3z9t4Zh2w4punC,0.0044,0.365,-6.247,1,0.116,124.326,4,0.765
0.713,0.582,140867,0.575,2XkuSbp5say8nZW8g6156Z,3.66e-06,0.151,-11.89,1,0.0529,140.601,4,0.558
0.612,0.539,160680,0.57,03nh0CNokqc24Dz8MawYJ3,0.0,0.0874,-7.059,1,0.0562,151.54,4,0.947
0.862,0.633,114760,0.441,6zkYyYfr1wx6GjDjEMBlfk,0.84,0.143,-5.897,1,0.0332,132.873,4,0.767
0.83,0.726,187920,0.519,6Kh5euxxgANHcC4lk1w2Ca,0.0,0.129,-13.868,1,0.0433,116.372,4,0.894
0.332,0.581,126467,0.812,2o3g4FdKS1oDt4WIc1wDuw,0.0,0.649,-8.553,0,0.0753,120.79,4,0.665
0.94,0.404,143267,0.246,1Vzr9AOdHw65UHoK1Vuxls,3e-05,0.297,-13.812,1,0.041,71.274,4,0.281
0.977,0.175,186921,0.249,6EMPM69ycV2hiKsDxbbvDe,0.911,0.166,-9.089,1,0.0311,92.927,3,0.203
0.572,0.682,129853,0.602,2ttsaJ52fkJmLbPZCnrIrW,0.0,0.0429,-9.636,1,0.0835,119.571,4,0.833
0.617,0.639,169000,0.394,4YumtAvz1IPEvC75o7stw8,0.00446,0.066,-12.638,1,0.0757,148.243,4,0.898
0.311,0.544,168240,0.748,3haZcHm3HydDVxm3je3Zmg,0.000716,0.0633,-6.243,1,0.0298,139.739,4,0.825
0.513,0.456,149467,0.47,2HCaIYjkvWSZzaSKUoOh3d,3.76e-05,0.444,-9.564,1,0.0294,120.336,4,0.639
0.0592,0.463,165987,0.604,4Q6jlf64hZpS0fnrl1b10J,0.00384,0.339,-12.215,1,0.0286,101.638,4,0.62
0.329,0.388,184253,0.534,05dRdylQO8eoR9pGjxso7e,0.0,0.149,-8.833,1,0.0318,125.954,4,0.734
0.3,0.554,155267,0.581,0erBl6JD3AeLeVBsS5gGek,0.0,0.108,-7.649,1,0.0298,123.371,4,0.812
0.00128,0.353,173947,0.944,4tLhDH3WLDWQ57R1onMdIg,0.00589,0.76,-8.983,1,0.14,145.696,4,0.475
0.516,0.673,162200,0.766,0TEPhSQinwMvtmwoyW807s,0.0,0.346,-7.294,1,0.0721,159.168,4,0.966
0.0111,0.436,145867,0.586,5KnoGzqktzPxHC38VQgWha,4.54e-06,0.447,-8.292,0,0.0308,132.778,4,0.674
0.776,0.487,163400,0.431,4TA8Rb2TOfmXqLRL5JCIGD,0.0,0.204,-7.648,1,0.0301,115.536,4,0.674
0.75,0.341,161827,0.795,2NrqSZ2W6psPDofrVVsdp8,0.168,0.101,-7.896,1,0.0512,139.057,4,0.47
0.754,0.708,164227,0.455,5MGwsE3oxsd8J0MmQVNhHF,0.000378,0.0764,-9.297,1,0.0314,111.481,4,0.694
0.287,0.448,193627,0.596,24SBSzZmlQRaA5SVyzp9yr,0.0,0.0952,-8.005,1,0.0332,108.412,4,0.38
0.29,0.366,153160,0.707,0Arrnl9EB7LtzPISpNBQQf,3.17e-05,0.505,-9.392,1,0.046,127.701,4,0.525
