,song_id,name_song,listOfNames_song,artist_id,name_artist,listOfNames_artist
290,91,Stoppin' In Las Vegas,"[""Stoppin' In Las Vegas""]",67,Chubby Checker with ZZ & The Masks,"['Chubby Checker with ZZ & The Masks', 'Chubby Checker ']"
291,92,Ode Aan Jim Reeves,['Ode Aan Jim Reeves'],68,The Rodeo Riders,['The Rodeo Riders']
25,112,Jolie Jacqueline,['Jolie Jacqueline'],1,Lucille Starr,['Lucille Starr']
268,122,Ann-Louise,"['Ann-Louise', 'Ann']",58,The Scorpions ((GBR)),['The Scorpions ((GBR))']
371,126,Goodbye To Love,['Goodbye To Love'],85,Margie Ball,['Margie Ball']
189,146,Küsse Unterm Regenbogen,['Küsse Unterm Regenbogen'],24,Manuela und Die 5 Dops,['Manuela und Die 5 Dops']
439,147,J'ai Pleuré,"[""J'ai Pleuré""]",97,Claudia Sylva,['Claudia Sylva']
269,157,Greensleeves,['Greensleeves'],58,The Scorpions ((GBR)),['The Scorpions ((GBR))']
481,171,"Zwaluw, Ach Zwaluw","['Zwaluw, Ach Zwaluw']",106,Max en Betsy Anders,"['Max en Betsy Anders', 'Ma']"
170,185,Wie Heeft De Sleutel Van De Juke-Box Gezien?,"['Wie Heeft De Sleutel Van De Juke-Box Gezien?', 'Wie Heeft De Sleutel Van De Juke']",16,Het Cocktail Trio,['Het Cocktail Trio']
503,195,Please Go,['Please Go'],119,The Golden Earrings,['The Golden Earrings']
505,196,I'll Go Crazy,"[""I'll Go Crazy""]",120,The Phantoms,['The Phantoms']
522,205,Zo Maar Een Soldaat (The Universal Soldier) / Zo Maar Een Soldaat,"['Zo Maar Een Soldaat (The Universal Soldier) ', ' Zo Maar Een Soldaat', 'Zo Maar Een Soldaat ', 'The Universal Soldier', 'Zo Maar Een Soldaat The Universal Soldier ']",128,Don Mercedes / Cowboy Gerard,"['Don Mercedes ', ' Cowboy Gerard']"
524,208,Don't Let The Stars Get In Your Eyes,"[""Don't Let The Stars Get In Your Eyes""]",130,Canadian Sweethearts: Lucille Starr en Bob Regan,['Canadian Sweethearts: Lucille Starr en Bob Regan']
265,209,Dear John,['Dear John'],56,Rein De Vries,['Rein De Vries']
525,210,Hang On Sloopy,['Hang On Sloopy'],131,The Mc Coys,['The Mc Coys']
535,215,Een Meisje Van 16 (A Young Girl Of Sixteen),"['Een Meisje Van 16 (A Young Girl Of Sixteen)', 'Een Meisje Van 16 ', 'A Young Girl Of Sixteen', 'Een Meisje Van 16 A Young Girl Of Sixteen']",134,Boudewijn De Groot,['Boudewijn De Groot']
546,220,"Wie, Is Wie, Groot Schandaal In Onze Familie","['Wie, Is Wie, Groot Schandaal In Onze Familie']",137,The Mounties,['The Mounties']
547,221,Early Bird,['Early Bird'],138,Andre Brasseur et Son Multisound Organ,['Andre Brasseur et Son Multisound Organ']
552,232,"Baby, Baby, Balla, Balla!!! / Balla, Balla","['Baby, Baby, Balla, Balla!!! ', ' Balla, Balla']",141,Chubby Checker with De Maskers / The Scorpions ((GBR)),"['Chubby Checker with De Maskers ', ' The Scorpions ((GBR))', 'Chubby Checker ']"
