,source,target,1
59096,31TPClRtHm23RisEBtV3X7,1l7ZsJRRS8wlW3WfJfPfNS,1
59099,31TPClRtHm23RisEBtV3X7,4qwGe91Bz9K2T8jXTZ815W,1
59100,31TPClRtHm23RisEBtV3X7,23zg3TcAtWQy7J6upgbUnj,1
59104,31TPClRtHm23RisEBtV3X7,26dSoYclwsYLMAKD3tpOr4,1
59106,31TPClRtHm23RisEBtV3X7,6vWDO969PvNqNYHIOW5v0m,1
59180,51Blml2LZPmy7TTiAg47vQ,3eqjTLE0HfPfh78zjh6TqT,1
59723,6vWDO969PvNqNYHIOW5v0m,4qwGe91Bz9K2T8jXTZ815W,1
59724,6vWDO969PvNqNYHIOW5v0m,4iHNK0tOyZPYnBU7nGAgpQ,1
59729,6vWDO969PvNqNYHIOW5v0m,6XpaIBNiVzIetEPCWDvAFP,1
59731,6vWDO969PvNqNYHIOW5v0m,31TPClRtHm23RisEBtV3X7,1
59735,6vWDO969PvNqNYHIOW5v0m,1l7ZsJRRS8wlW3WfJfPfNS,1
60886,4mplweFSgMgpH03ruEMEMv,1tF9HtIFX8fJfBo64FIJ8S,1
60888,4mplweFSgMgpH03ruEMEMv,2MGJBRRGEj9m6MxJIq7fLn,1
60896,4mplweFSgMgpH03ruEMEMv,1ZhBDHnGPkPciEyJBzfq3p,1
60897,4mplweFSgMgpH03ruEMEMv,0uBrmlGaTI6nSg4JpVC1VR,1
60899,4mplweFSgMgpH03ruEMEMv,5OWsH2lF65ygWcLYWic6rq,1
60904,4mplweFSgMgpH03ruEMEMv,3pqfZ3xfayx6qJWcsVcXnS,1
61489,1iTlOqIrZy8DlvCPJY2sjS,2QU0ew2k2IZJifa8VWevSv,1
61494,1iTlOqIrZy8DlvCPJY2sjS,4mplweFSgMgpH03ruEMEMv,1
61497,1iTlOqIrZy8DlvCPJY2sjS,7rgKxnnBAsZ7Q04d6jICu6,1
61500,1iTlOqIrZy8DlvCPJY2sjS,6ltVunYjAAD70YtVO6rxvX,1
62176,0uBrmlGaTI6nSg4JpVC1VR,4mplweFSgMgpH03ruEMEMv,1
62181,0uBrmlGaTI6nSg4JpVC1VR,1ZhBDHnGPkPciEyJBzfq3p,1
62183,0uBrmlGaTI6nSg4JpVC1VR,2MGJBRRGEj9m6MxJIq7fLn,1
62189,0uBrmlGaTI6nSg4JpVC1VR,1tF9HtIFX8fJfBo64FIJ8S,1
63525,5MvyMusqNikgVgkKHLc3pb,5V2zReaoPvB7EsZ4160uLG,1
63529,5MvyMusqNikgVgkKHLc3pb,2lzeV1nxm8MB7z85L53JV2,1
63532,5MvyMusqNikgVgkKHLc3pb,7iR5h6yGnTiswjsmj624Rq,1
63534,5MvyMusqNikgVgkKHLc3pb,04MtOUkmIDC4LAxDDBjrOY,1
63535,5MvyMusqNikgVgkKHLc3pb,0v4CvkMzWBQ1wZIMl2BqQW,1
63542,5MvyMusqNikgVgkKHLc3pb,1G2QbSM5dLTtqeZHYnxXsF,1
65314,3WrFJ7ztbogyGnTHbHJFl2,3oDbviiivRWhXwIE8hxkVV,1
65315,3WrFJ7ztbogyGnTHbHJFl2,22bE4uQ6baNwSHPVcDxLCe,1
65316,3WrFJ7ztbogyGnTHbHJFl2,1SQRv42e4PjEYfPhS0Tk9E,1
65317,3WrFJ7ztbogyGnTHbHJFl2,6waa8mKu91GjzD4NlONlNJ,1
65329,3WrFJ7ztbogyGnTHbHJFl2,43ZHCT0cAZBISjO8DG9PnE,1
69147,04MtOUkmIDC4LAxDDBjrOY,5MvyMusqNikgVgkKHLc3pb,1
69149,04MtOUkmIDC4LAxDDBjrOY,0v4CvkMzWBQ1wZIMl2BqQW,1
69152,04MtOUkmIDC4LAxDDBjrOY,7iR5h6yGnTiswjsmj624Rq,1
69155,04MtOUkmIDC4LAxDDBjrOY,5V2zReaoPvB7EsZ4160uLG,1
69159,04MtOUkmIDC4LAxDDBjrOY,2lzeV1nxm8MB7z85L53JV2,1
69162,04MtOUkmIDC4LAxDDBjrOY,1G2QbSM5dLTtqeZHYnxXsF,1
70464,4gzpq5DPGxSnKTe4SA8HAU,51Blml2LZPmy7TTiAg47vQ,1
70469,4gzpq5DPGxSnKTe4SA8HAU,2HcwFjNelS49kFbfvMxQYw,1
70865,3pqfZ3xfayx6qJWcsVcXnS,2x8IIf3l8n2kJgLOxcYP29,1
70870,3pqfZ3xfayx6qJWcsVcXnS,5OWsH2lF65ygWcLYWic6rq,1
70876,3pqfZ3xfayx6qJWcsVcXnS,0EyzZUO2ycn0hLjKDFT7Hb,1
70877,3pqfZ3xfayx6qJWcsVcXnS,0v4CvkMzWBQ1wZIMl2BqQW,1
73554,1G2QbSM5dLTtqeZHYnxXsF,5OWsH2lF65ygWcLYWic6rq,1
73565,1G2QbSM5dLTtqeZHYnxXsF,0EyzZUO2ycn0hLjKDFT7Hb,1
73569,1G2QbSM5dLTtqeZHYnxXsF,2x8IIf3l8n2kJgLOxcYP29,1
73570,1G2QbSM5dLTtqeZHYnxXsF,0v4CvkMzWBQ1wZIMl2BqQW,1
77241,0LcJLqbBmaGUft1e9Mm8HV,2eogQKWWoohI3BSnoG7E2U,1
77242,0LcJLqbBmaGUft1e9Mm8HV,54R6Y0I7jGUCveDTtI21nb,1
77247,0LcJLqbBmaGUft1e9Mm8HV,1LZEQNv7sE11VDY3SdxQeN,1
77250,0LcJLqbBmaGUft1e9Mm8HV,1zuJe6b1roixEKMOtyrEak,1
77499,1SQRv42e4PjEYfPhS0Tk9E,6waa8mKu91GjzD4NlONlNJ,1
77503,1SQRv42e4PjEYfPhS0Tk9E,67ea9eGLXYMsO2eYQRui3w,1
79540,5pKCCKE2ajJHZ9KAiaK11H,6vWDO969PvNqNYHIOW5v0m,1
79544,5pKCCKE2ajJHZ9KAiaK11H,1l7ZsJRRS8wlW3WfJfPfNS,1
79545,5pKCCKE2ajJHZ9KAiaK11H,26dSoYclwsYLMAKD3tpOr4,1
79552,5pKCCKE2ajJHZ9KAiaK11H,23zg3TcAtWQy7J6upgbUnj,1
79555,5pKCCKE2ajJHZ9KAiaK11H,2DlGxzQSjYe5N6G9nkYghR,1
81283,1Cs0zKBU1kc0i8ypK3B9ai,2o5jDhtHVPhrJdv3cEQ99Z,1
83941,7guDJrEfX3qb6FEbdPA5qi,3MdG05syQeRYPPcClLaUGl,1
88465,0oSGxfWSnnOXhD2fKuz2Gy,1dfeR4HaWDbWqFHLkxsg1d,1
88468,0oSGxfWSnnOXhD2fKuz2Gy,1SQRv42e4PjEYfPhS0Tk9E,1
88478,0oSGxfWSnnOXhD2fKuz2Gy,67ea9eGLXYMsO2eYQRui3w,1
88641,22bE4uQ6baNwSHPVcDxLCe,67ea9eGLXYMsO2eYQRui3w,1
88642,22bE4uQ6baNwSHPVcDxLCe,1SQRv42e4PjEYfPhS0Tk9E,1
88647,22bE4uQ6baNwSHPVcDxLCe,6waa8mKu91GjzD4NlONlNJ,1
90025,2QU0ew2k2IZJifa8VWevSv,5V2zReaoPvB7EsZ4160uLG,1
90029,2QU0ew2k2IZJifa8VWevSv,0EyzZUO2ycn0hLjKDFT7Hb,1
90030,2QU0ew2k2IZJifa8VWevSv,1G2QbSM5dLTtqeZHYnxXsF,1
90034,2QU0ew2k2IZJifa8VWevSv,1tF9HtIFX8fJfBo64FIJ8S,1
94866,3oDbviiivRWhXwIE8hxkVV,1SQRv42e4PjEYfPhS0Tk9E,1
94867,3oDbviiivRWhXwIE8hxkVV,6waa8mKu91GjzD4NlONlNJ,1
3030,3gMaNLQm7D9MornNILzdSl,3fMbdgg4jU18AjLCKBhRSm,1
3031,7guDJrEfX3qb6FEbdPA5qi,3fMbdgg4jU18AjLCKBhRSm,1
3032,4qwGe91Bz9K2T8jXTZ815W,3fMbdgg4jU18AjLCKBhRSm,1
3033,5a2EaR3hamoenG9rDuVn8j,3fMbdgg4jU18AjLCKBhRSm,1
3037,6tbjWDEIzxoDsBA1FuhfPW,3fMbdgg4jU18AjLCKBhRSm,1
3038,6XpaIBNiVzIetEPCWDvAFP,3fMbdgg4jU18AjLCKBhRSm,1
3040,3MdG05syQeRYPPcClLaUGl,3fMbdgg4jU18AjLCKBhRSm,1
3043,2eogQKWWoohI3BSnoG7E2U,3fMbdgg4jU18AjLCKBhRSm,1
3045,31TPClRtHm23RisEBtV3X7,3fMbdgg4jU18AjLCKBhRSm,1
5005,1SQRv42e4PjEYfPhS0Tk9E,08GQAI4eElDnROBrJRGE0X,1
5281,4RVnAU35WRWra6OZ3CbbMA,2HcwFjNelS49kFbfvMxQYw,1
6220,4RVnAU35WRWra6OZ3CbbMA,26dSoYclwsYLMAKD3tpOr4,1
7845,2eogQKWWoohI3BSnoG7E2U,1LZEQNv7sE11VDY3SdxQeN,1
7850,2y8Jo9CKhJvtfeKOsYzRdT,1LZEQNv7sE11VDY3SdxQeN,1
7852,6waa8mKu91GjzD4NlONlNJ,1LZEQNv7sE11VDY3SdxQeN,1
7858,3gMaNLQm7D9MornNILzdSl,1LZEQNv7sE11VDY3SdxQeN,1
7983,3MdG05syQeRYPPcClLaUGl,3gMaNLQm7D9MornNILzdSl,1
10440,6waa8mKu91GjzD4NlONlNJ,67ea9eGLXYMsO2eYQRui3w,1
13592,2y8Jo9CKhJvtfeKOsYzRdT,3PhoLpVuITZKcymswpck5b,1
13609,6waa8mKu91GjzD4NlONlNJ,3PhoLpVuITZKcymswpck5b,1
15125,3D2GUXbtlL3r2d5HJEnsFD,6ltVunYjAAD70YtVO6rxvX,1
22326,2o5jDhtHVPhrJdv3cEQ99Z,1vCWHaC5f2uS3yhpwWbIA6,1
26162,31TPClRtHm23RisEBtV3X7,0du5cEVh5yTK9QJze8zA0C,1
26172,23zg3TcAtWQy7J6upgbUnj,0du5cEVh5yTK9QJze8zA0C,1
26174,4iHNK0tOyZPYnBU7nGAgpQ,0du5cEVh5yTK9QJze8zA0C,1
26179,1l7ZsJRRS8wlW3WfJfPfNS,0du5cEVh5yTK9QJze8zA0C,1
27784,1tF9HtIFX8fJfBo64FIJ8S,7jQDCbxYM9t8bLCd2n8ONI,1
27789,5MvyMusqNikgVgkKHLc3pb,7jQDCbxYM9t8bLCd2n8ONI,1
27790,5V2zReaoPvB7EsZ4160uLG,7jQDCbxYM9t8bLCd2n8ONI,1
27791,1G2QbSM5dLTtqeZHYnxXsF,7jQDCbxYM9t8bLCd2n8ONI,1
34126,2eogQKWWoohI3BSnoG7E2U,54R6Y0I7jGUCveDTtI21nb,1
35145,4qwGe91Bz9K2T8jXTZ815W,4iHNK0tOyZPYnBU7nGAgpQ,1
35431,0v4CvkMzWBQ1wZIMl2BqQW,5V2zReaoPvB7EsZ4160uLG,1
35474,31TPClRtHm23RisEBtV3X7,04gDigrS5kc9YWfZHwBETP,1
35478,1KCSPY1glIKqW2TotWuXOR,04gDigrS5kc9YWfZHwBETP,1
36379,3pqfZ3xfayx6qJWcsVcXnS,1ZhBDHnGPkPciEyJBzfq3p,1
36383,2x8IIf3l8n2kJgLOxcYP29,1ZhBDHnGPkPciEyJBzfq3p,1
36384,5OWsH2lF65ygWcLYWic6rq,1ZhBDHnGPkPciEyJBzfq3p,1
37906,6waa8mKu91GjzD4NlONlNJ,43ZHCT0cAZBISjO8DG9PnE,1
38881,1l7ZsJRRS8wlW3WfJfPfNS,1KCSPY1glIKqW2TotWuXOR,1
38885,26dSoYclwsYLMAKD3tpOr4,1KCSPY1glIKqW2TotWuXOR,1
39082,2DlGxzQSjYe5N6G9nkYghR,1l7ZsJRRS8wlW3WfJfPfNS,1
39089,4iHNK0tOyZPYnBU7nGAgpQ,1l7ZsJRRS8wlW3WfJfPfNS,1
41332,7iR5h6yGnTiswjsmj624Rq,3D2GUXbtlL3r2d5HJEnsFD,1
41335,3FTKP1k9VbOng3m1rgnsqx,3D2GUXbtlL3r2d5HJEnsFD,1
