,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,valence,trackID
44,0.581,https://api.spotify.com/v1/audio-analysis/2nWOcN5UJASzQQ4Ua7FCv3,0.24,153093,0.303,2nWOcN5UJASzQQ4Ua7FCv3,0.0,4,0.0996,-12.022,1,0.0344,134.829,4,https://api.spotify.com/v1/tracks/2nWOcN5UJASzQQ4Ua7FCv3,audio_features,0.374,spotify:track:2nWOcN5UJASzQQ4Ua7FCv3
45,0.768,https://api.spotify.com/v1/audio-analysis/6ksGt7P2fADVa2x3DgIJRE,0.365,170827,0.268,6ksGt7P2fADVa2x3DgIJRE,1.75e-05,8,0.0971,-13.827,1,0.0368,95.465,3,https://api.spotify.com/v1/tracks/6ksGt7P2fADVa2x3DgIJRE,audio_features,0.27,spotify:track:6ksGt7P2fADVa2x3DgIJRE
46,0.854,https://api.spotify.com/v1/audio-analysis/5lz5nAO1HA7nntRU5k0IzH,0.226,199000,0.507,5lz5nAO1HA7nntRU5k0IzH,3.22e-05,6,0.0928,-8.835,1,0.0371,77.659,4,https://api.spotify.com/v1/tracks/5lz5nAO1HA7nntRU5k0IzH,audio_features,0.432,spotify:track:5lz5nAO1HA7nntRU5k0IzH
47,0.394,https://api.spotify.com/v1/audio-analysis/38KTIenSEnoGNGLUrYdFLV,0.559,195000,0.31,38KTIenSEnoGNGLUrYdFLV,0.794,8,0.108,-13.499,1,0.0408,128.691,4,https://api.spotify.com/v1/tracks/38KTIenSEnoGNGLUrYdFLV,audio_features,0.311,spotify:track:38KTIenSEnoGNGLUrYdFLV
48,0.383,https://api.spotify.com/v1/audio-analysis/4VU6RQBoryrzDh9YSFT7rz,0.689,173825,0.62,4VU6RQBoryrzDh9YSFT7rz,0.0,5,0.123,-12.379,1,0.0418,82.063,4,https://api.spotify.com/v1/tracks/4VU6RQBoryrzDh9YSFT7rz,audio_features,0.956,spotify:track:4VU6RQBoryrzDh9YSFT7rz
49,0.426,https://api.spotify.com/v1/audio-analysis/27K4ItIdSmWm9VKiteM5m2,0.565,156668,0.505,27K4ItIdSmWm9VKiteM5m2,0.0,0,0.234,-8.245,1,0.0279,106.166,3,https://api.spotify.com/v1/tracks/27K4ItIdSmWm9VKiteM5m2,audio_features,0.675,spotify:track:27K4ItIdSmWm9VKiteM5m2
0,0.632,https://api.spotify.com/v1/audio-analysis/2ZIuoecgzGGVNJoeC57YVZ,0.559,143933,0.651,2ZIuoecgzGGVNJoeC57YVZ,0.0,7,0.113,-9.153,1,0.0446,124.86,4,https://api.spotify.com/v1/tracks/2ZIuoecgzGGVNJoeC57YVZ,audio_features,0.725,spotify:track:2ZIuoecgzGGVNJoeC57YVZ
1,0.644,https://api.spotify.com/v1/audio-analysis/2BHfvwa7gxhN7h0rxQMubR,0.472,138520,0.513,2BHfvwa7gxhN7h0rxQMubR,0.0,3,0.0679,-6.472,1,0.0286,127.798,4,https://api.spotify.com/v1/tracks/2BHfvwa7gxhN7h0rxQMubR,audio_features,0.405,spotify:track:2BHfvwa7gxhN7h0rxQMubR
2,0.497,https://api.spotify.com/v1/audio-analysis/7sh5oYwMO2E4xFHAbZZUfL,0.577,158928,0.785,7sh5oYwMO2E4xFHAbZZUfL,0.0,0,0.257,-6.178,1,0.0268,99.43,4,https://api.spotify.com/v1/tracks/7sh5oYwMO2E4xFHAbZZUfL,audio_features,0.96,spotify:track:7sh5oYwMO2E4xFHAbZZUfL
3,0.639,https://api.spotify.com/v1/audio-analysis/6vVpx5ax8Wow3TWB1yugA4,0.31,157229,0.656,6vVpx5ax8Wow3TWB1yugA4,0.0,10,0.311,-8.97,1,0.0504,197.626,3,https://api.spotify.com/v1/tracks/6vVpx5ax8Wow3TWB1yugA4,audio_features,0.85,spotify:track:6vVpx5ax8Wow3TWB1yugA4
4,0.412,https://api.spotify.com/v1/audio-analysis/2B3ArhTa6DRox1W4CJZ1dM,0.652,163600,0.583,2B3ArhTa6DRox1W4CJZ1dM,0.0,9,0.119,-7.811,1,0.038,138.134,4,https://api.spotify.com/v1/tracks/2B3ArhTa6DRox1W4CJZ1dM,audio_features,0.744,spotify:track:2B3ArhTa6DRox1W4CJZ1dM
5,0.896,https://api.spotify.com/v1/audio-analysis/3wBa4fHWZMT9tLVPE7Cc1n,0.487,190133,0.363,3wBa4fHWZMT9tLVPE7Cc1n,0.0126,0,0.0986,-10.183,1,0.0349,99.326,4,https://api.spotify.com/v1/tracks/3wBa4fHWZMT9tLVPE7Cc1n,audio_features,0.547,spotify:track:3wBa4fHWZMT9tLVPE7Cc1n
6,0.788,https://api.spotify.com/v1/audio-analysis/0GJX7vXqS15TlMaNR2myR6,0.571,174960,0.169,0GJX7vXqS15TlMaNR2myR6,0.0,1,0.119,-13.278,1,0.0295,106.541,3,https://api.spotify.com/v1/tracks/0GJX7vXqS15TlMaNR2myR6,audio_features,0.49,spotify:track:0GJX7vXqS15TlMaNR2myR6
7,0.402,https://api.spotify.com/v1/audio-analysis/6IW5U4H5EkzznI0fCWlbzR,0.624,138320,0.758,6IW5U4H5EkzznI0fCWlbzR,0.00034,7,0.415,-7.232,0,0.0769,140.653,4,https://api.spotify.com/v1/tracks/6IW5U4H5EkzznI0fCWlbzR,audio_features,0.398,spotify:track:6IW5U4H5EkzznI0fCWlbzR
8,0.574,https://api.spotify.com/v1/audio-analysis/3GNmeBVXMHS3pnNfRabxod,0.339,191200,0.482,3GNmeBVXMHS3pnNfRabxod,0.0,5,0.171,-11.92,0,0.0388,118.662,3,https://api.spotify.com/v1/tracks/3GNmeBVXMHS3pnNfRabxod,audio_features,0.674,spotify:track:3GNmeBVXMHS3pnNfRabxod
9,0.419,https://api.spotify.com/v1/audio-analysis/0gDHo7nkUC3846vefhHJcE,0.674,149880,0.702,0gDHo7nkUC3846vefhHJcE,0.0,0,0.249,-9.723,1,0.0354,122.096,4,https://api.spotify.com/v1/tracks/0gDHo7nkUC3846vefhHJcE,audio_features,0.871,spotify:track:0gDHo7nkUC3846vefhHJcE
10,0.677,https://api.spotify.com/v1/audio-analysis/6xWkRiAgGkUz76go2HjcJ0,0.707,126107,0.479,6xWkRiAgGkUz76go2HjcJ0,0.0,5,0.316,-12.065,1,0.048,90.152,4,https://api.spotify.com/v1/tracks/6xWkRiAgGkUz76go2HjcJ0,audio_features,0.739,spotify:track:6xWkRiAgGkUz76go2HjcJ0
11,0.563,https://api.spotify.com/v1/audio-analysis/3HlxOnjQlJGo4djBCPM3UV,0.59,149733,0.362,3HlxOnjQlJGo4djBCPM3UV,0.000344,0,0.109,-12.958,1,0.0349,113.089,4,https://api.spotify.com/v1/tracks/3HlxOnjQlJGo4djBCPM3UV,audio_features,0.427,spotify:track:3HlxOnjQlJGo4djBCPM3UV
12,0.718,https://api.spotify.com/v1/audio-analysis/4fZnBFGXhusQwxSGRyl1GY,0.768,121613,0.455,4fZnBFGXhusQwxSGRyl1GY,0.0,3,0.0827,-13.27,1,0.176,159.007,4,https://api.spotify.com/v1/tracks/4fZnBFGXhusQwxSGRyl1GY,audio_features,0.882,spotify:track:4fZnBFGXhusQwxSGRyl1GY
13,0.75,https://api.spotify.com/v1/audio-analysis/6Ln9F9lZNMgV5Ht87z9Bd0,0.567,162320,0.672,6Ln9F9lZNMgV5Ht87z9Bd0,0.0837,10,0.367,-7.666,1,0.0336,126.509,4,https://api.spotify.com/v1/tracks/6Ln9F9lZNMgV5Ht87z9Bd0,audio_features,0.79,spotify:track:6Ln9F9lZNMgV5Ht87z9Bd0
14,0.189,https://api.spotify.com/v1/audio-analysis/4VRBVIN8KRP1HhMhJPpc5s,0.756,122733,0.538,4VRBVIN8KRP1HhMhJPpc5s,0.00159,6,0.0421,-9.826,1,0.0336,112.129,4,https://api.spotify.com/v1/tracks/4VRBVIN8KRP1HhMhJPpc5s,audio_features,0.973,spotify:track:4VRBVIN8KRP1HhMhJPpc5s
15,0.129,https://api.spotify.com/v1/audio-analysis/3qmCgBccHyC7e3IBvS9byq,0.329,221493,0.926,3qmCgBccHyC7e3IBvS9byq,0.852,9,0.745,-5.146,1,0.0629,167.435,4,https://api.spotify.com/v1/tracks/3qmCgBccHyC7e3IBvS9byq,audio_features,0.385,spotify:track:3qmCgBccHyC7e3IBvS9byq
16,0.78,https://api.spotify.com/v1/audio-analysis/2U8i316GHJMluI42xqbThK,0.364,170360,0.332,2U8i316GHJMluI42xqbThK,0.0,11,0.215,-11.507,1,0.0311,110.259,4,https://api.spotify.com/v1/tracks/2U8i316GHJMluI42xqbThK,audio_features,0.287,spotify:track:2U8i316GHJMluI42xqbThK
17,0.67,https://api.spotify.com/v1/audio-analysis/009oOX7tpCPLzRL9AFiBS8,0.718,136067,0.593,009oOX7tpCPLzRL9AFiBS8,0.0,0,0.172,-9.976,1,0.0377,124.251,4,https://api.spotify.com/v1/tracks/009oOX7tpCPLzRL9AFiBS8,audio_features,0.869,spotify:track:009oOX7tpCPLzRL9AFiBS8
18,0.778,https://api.spotify.com/v1/audio-analysis/7hyuFoept7slNptV126UwW,0.478,150267,0.341,7hyuFoept7slNptV126UwW,9.73e-06,10,0.254,-13.18,1,0.0286,105.107,4,https://api.spotify.com/v1/tracks/7hyuFoept7slNptV126UwW,audio_features,0.62,spotify:track:7hyuFoept7slNptV126UwW
19,0.146,https://api.spotify.com/v1/audio-analysis/0V1hBXTdYOWv3N2FVzG3OM,0.546,145693,0.568,0V1hBXTdYOWv3N2FVzG3OM,0.0,11,0.77,-9.604,0,0.0285,112.584,4,https://api.spotify.com/v1/tracks/0V1hBXTdYOWv3N2FVzG3OM,audio_features,0.488,spotify:track:0V1hBXTdYOWv3N2FVzG3OM
20,0.188,https://api.spotify.com/v1/audio-analysis/0E6LkjKMDd3oLQOsVBLO9H,0.381,169093,0.585,0E6LkjKMDd3oLQOsVBLO9H,0.0499,0,0.0739,-11.286,1,0.0394,187.442,3,https://api.spotify.com/v1/tracks/0E6LkjKMDd3oLQOsVBLO9H,audio_features,0.586,spotify:track:0E6LkjKMDd3oLQOsVBLO9H
21,0.316,https://api.spotify.com/v1/audio-analysis/0ISi0rFiU16DwyRsb5NUNL,0.263,179507,0.675,0ISi0rFiU16DwyRsb5NUNL,0.0,4,0.317,-6.208,1,0.0405,109.084,4,https://api.spotify.com/v1/tracks/0ISi0rFiU16DwyRsb5NUNL,audio_features,0.415,spotify:track:0ISi0rFiU16DwyRsb5NUNL
22,0.644,https://api.spotify.com/v1/audio-analysis/7i4WaTC7Xp6SY49aCdcVia,0.533,150507,0.579,7i4WaTC7Xp6SY49aCdcVia,0.0,1,0.143,-9.405,1,0.0307,147.928,3,https://api.spotify.com/v1/tracks/7i4WaTC7Xp6SY49aCdcVia,audio_features,0.782,spotify:track:7i4WaTC7Xp6SY49aCdcVia
23,0.74,https://api.spotify.com/v1/audio-analysis/0wsmye8i8wpjajZvOktHq6,0.39,198173,0.365,0wsmye8i8wpjajZvOktHq6,0.0,9,0.122,-9.385,0,0.0286,111.254,3,https://api.spotify.com/v1/tracks/0wsmye8i8wpjajZvOktHq6,audio_features,0.475,spotify:track:0wsmye8i8wpjajZvOktHq6
