,source,target,1
189,1h6Cn3P4NGzXbaXidqURXs,5ChF3i92IPZHduM7jN3dpg,1
190,1h6Cn3P4NGzXbaXidqURXs,1pbHrVayIcVpHI9z97u4bK,1
193,1h6Cn3P4NGzXbaXidqURXs,5sm0jQ1mq0dusiLtDJ2b4R,1
195,1h6Cn3P4NGzXbaXidqURXs,7dc6hUwyuIhrZdh80eaCEE,1
196,1h6Cn3P4NGzXbaXidqURXs,1bpzpALZwOoKXzwMg2i8WB,1
197,1h6Cn3P4NGzXbaXidqURXs,22bukBZvUppuwQwmDz75Gz,1
199,1h6Cn3P4NGzXbaXidqURXs,4AVFqumd2ogHFlRbKIjp1t,1
200,1h6Cn3P4NGzXbaXidqURXs,7iLc4hrjOjQPfg1E3cCHg1,1
204,3ijY78RxOagYo8FOgSEkWj,6OheJTrDFGiyZ67F1BBLhc,1
212,3ijY78RxOagYo8FOgSEkWj,5ZEAzHE2TzAwUcOj6jMIgf,1
215,3ijY78RxOagYo8FOgSEkWj,7d7q5Y1p2QWS4QRAhTQR5E,1
223,1fprDBeCKrHSz3TZDiML9a,43ZHCT0cAZBISjO8DG9PnE,1
224,1fprDBeCKrHSz3TZDiML9a,6eUKZXaKkcviH0Ku9w2n3V,1
225,1fprDBeCKrHSz3TZDiML9a,2wY79sveU1sp5g7SokKOiI,1
226,1fprDBeCKrHSz3TZDiML9a,32vWCbZh0xZ4o9gkz4PsEU,1
227,1fprDBeCKrHSz3TZDiML9a,06HL4z0CvFAxyc27GXpf02,1
233,1lO13Grp3I1AsIbcACRWvv,3r2qdoM2Ryp8aBb3S3qIG1,1
236,1lO13Grp3I1AsIbcACRWvv,6ltVunYjAAD70YtVO6rxvX,1
241,1lO13Grp3I1AsIbcACRWvv,0ZLfGbfO9xjpfna1pN8BeX,1
246,1lO13Grp3I1AsIbcACRWvv,63txTraopbR00KYo7mYOOj,1
247,1lO13Grp3I1AsIbcACRWvv,3UhIlk54Oe4ja06V962ptU,1
251,1lO13Grp3I1AsIbcACRWvv,5HlXA01kcjssYDT7EoqUJF,1
252,1lO13Grp3I1AsIbcACRWvv,7t1YgV4PxSjBg9P8ZqE4Vo,1
253,6GI52t8N5F02MxU0g5U69P,7yGQgQiiKpg2k00JXf8hJk,1
254,6GI52t8N5F02MxU0g5U69P,0AD4odMWVQ2wUSlgxOB5Rl,1
255,6GI52t8N5F02MxU0g5U69P,6QtGlUje9TIkLrgPZrESuk,1
257,6GI52t8N5F02MxU0g5U69P,74oJ4qxwOZvX6oSsu1DGnw,1
259,6GI52t8N5F02MxU0g5U69P,0qEcf3SFlpRcb3lK3f2GZI,1
260,6GI52t8N5F02MxU0g5U69P,6PAt558ZEZl0DmdXlnjMgD,1
261,6GI52t8N5F02MxU0g5U69P,7nkLRaWHImCvWGHdNGnhVE,1
262,6GI52t8N5F02MxU0g5U69P,0543y7yrvny4KymoaneT4W,1
263,6GI52t8N5F02MxU0g5U69P,1WRM9i067hd2ujxxi8FI3m,1
264,6GI52t8N5F02MxU0g5U69P,6P7H3ai06vU1sGvdpBwDmE,1
265,6GI52t8N5F02MxU0g5U69P,2AM4ilv6UzW0uMRuqKtDgN,1
266,6GI52t8N5F02MxU0g5U69P,3pFCERyEiP5xeN2EsPXhjI,1
267,6GI52t8N5F02MxU0g5U69P,1CD77o9fbdyQFrHnUPUEsF,1
268,6GI52t8N5F02MxU0g5U69P,776Uo845nYHJpNaStv1Ds4,1
269,6GI52t8N5F02MxU0g5U69P,39T6qqI0jDtSWWioX8eGJz,1
270,6GI52t8N5F02MxU0g5U69P,2lxX1ivRYp26soIavdG9bX,1
271,6GI52t8N5F02MxU0g5U69P,4wQ3PyMz3WwJGI5uEqHUVR,1
272,6GI52t8N5F02MxU0g5U69P,568ZhdwyaiCyOGJRtNYhWf,1
281,218kRJZ7FJs0hWIk8Ynzhz,1LFKKuzn302wp15dYH28id,1
283,218kRJZ7FJs0hWIk8Ynzhz,0SNdq9iJyup4XY6JbNHbt6,1
285,218kRJZ7FJs0hWIk8Ynzhz,2Ev0e8GUIX4u7d9etNLTXg,1
296,2OrGVDwIP5mxA6vKDEAlj9,3gTdasIk6zVQicwh8PYnAv,1
297,2OrGVDwIP5mxA6vKDEAlj9,2QQmM6BzMusl0RkjVz84NR,1
298,2OrGVDwIP5mxA6vKDEAlj9,3aTMQXvGDGHPcQFtH2PM28,1
300,2OrGVDwIP5mxA6vKDEAlj9,4jmwDHMdwFiYkFIiOmBbrG,1
303,2OrGVDwIP5mxA6vKDEAlj9,5icZHFQjI6SRsvXNOKUXZ1,1
305,2OrGVDwIP5mxA6vKDEAlj9,27aNYoqLUzogd4oSliq1Md,1
306,2OrGVDwIP5mxA6vKDEAlj9,3jBNLmJDEBWEoidTT7l1Jn,1
308,2OrGVDwIP5mxA6vKDEAlj9,5zEUGwAdlfTQqKplCJJuua,1
309,2OrGVDwIP5mxA6vKDEAlj9,2jtIQ2r2x8P4I23sIDDL3n,1
312,7nDsS0l5ZAzMedVRKPP8F1,37mtx80nMDETlbsq2eFCzc,1
313,7nDsS0l5ZAzMedVRKPP8F1,4ScCswdRlyA23odg9thgIO,1
315,7nDsS0l5ZAzMedVRKPP8F1,4IWBUUAFIplrNtaOHcJPRM,1
317,7nDsS0l5ZAzMedVRKPP8F1,6yZoNdsPrYLviaEOOzbZt8,1
318,7nDsS0l5ZAzMedVRKPP8F1,5IHqlcCbQkyhWl0KmIwgeq,1
319,7nDsS0l5ZAzMedVRKPP8F1,3EBRANWwnViQuBrImN61Z1,1
320,7nDsS0l5ZAzMedVRKPP8F1,66TrUkUZ3RM29dqeDQRgyA,1
321,7nDsS0l5ZAzMedVRKPP8F1,5lKZWd6HiSCLfnDGrq9RAm,1
322,7nDsS0l5ZAzMedVRKPP8F1,6mU8ucezzms5I2kNH6HNlu,1
326,7nDsS0l5ZAzMedVRKPP8F1,3NyNPJaemMYsL14DK2tO01,1
329,7nDsS0l5ZAzMedVRKPP8F1,7sfgqEdoeBTjd8lQsPT3Cy,1
331,438JBZR1AR0l04AzcYW9gy,38h03gA85YYPeDPd9ER9rT,1
332,438JBZR1AR0l04AzcYW9gy,7BFr36uI1dzJyo6tpa5Ued,1
333,438JBZR1AR0l04AzcYW9gy,5fbhwqYYh4YwUoEs582mq5,1
336,438JBZR1AR0l04AzcYW9gy,2O0Hw1WSMbskB5tD9aWah3,1
337,438JBZR1AR0l04AzcYW9gy,187xgSpsFH8mMbAcoCW0zE,1
338,438JBZR1AR0l04AzcYW9gy,64CuUOOirKmdAYLQSfaOyr,1
339,438JBZR1AR0l04AzcYW9gy,68kACMx6A3D2BYiO056MeQ,1
342,438JBZR1AR0l04AzcYW9gy,1DpIDwg8FGD50N9Tfunfsf,1
345,438JBZR1AR0l04AzcYW9gy,0wbrRIw2po5DV4LeaHw55S,1
347,438JBZR1AR0l04AzcYW9gy,6avGAzQTmqu8mfSmZrN7gT,1
349,438JBZR1AR0l04AzcYW9gy,1OxJzMLmR9l5zPLap9OxuO,1
353,090a4C0eOCTDBuCkN3VSVk,3xgj17ZsWxxU86S4qlWvOi,1
358,090a4C0eOCTDBuCkN3VSVk,44NpcgfV0tBVBVNzmtUBhZ,1
359,090a4C0eOCTDBuCkN3VSVk,3tjF6wLt90r7qSWukrn401,1
360,090a4C0eOCTDBuCkN3VSVk,3C4Ma6ujXcpDtisnx6RASG,1
362,090a4C0eOCTDBuCkN3VSVk,03Qx8J2OxTAGgZqZ4rnaB0,1
363,090a4C0eOCTDBuCkN3VSVk,2wpWOzQE5TpA0dVnh5YD08,1
367,090a4C0eOCTDBuCkN3VSVk,0CZzh950BDSsosMF5Lft5K,1
368,090a4C0eOCTDBuCkN3VSVk,00OX175uYCsHJPLZOjNJqe,1
370,090a4C0eOCTDBuCkN3VSVk,5TQaBSTOSypp7S4jfSnN3F,1
371,0Nn9YwJzcaeuU1jJL06e3r,3daM7asS0gCFvyLemNx2EE,1
373,0Nn9YwJzcaeuU1jJL06e3r,6DCIj8jNaNpBz8e5oKFPtp,1
375,0Nn9YwJzcaeuU1jJL06e3r,1LB8qB5BPb3MHQrfkvifXU,1
376,0Nn9YwJzcaeuU1jJL06e3r,69Mj3u4FTUrpyeGNSIaU6F,1
380,0Nn9YwJzcaeuU1jJL06e3r,6z7wrwE2QW7Keb9ozoF0rg,1
388,0Nn9YwJzcaeuU1jJL06e3r,4pJCawaKSZ40EnxN0YEYw3,1
390,0Nn9YwJzcaeuU1jJL06e3r,3BqaUtuQmqIHg7B5Bc7fP7,1
392,3UbyYnvNIT5DFXU4WgiGpP,6H1RjVyNruCmrBEWRbD0VZ,1
396,3UbyYnvNIT5DFXU4WgiGpP,7Js6Lde8thlIHXggv2SCBz,1
406,3UbyYnvNIT5DFXU4WgiGpP,3nLYJvqbEzs5kg2TlprxIG,1
407,3UbyYnvNIT5DFXU4WgiGpP,1fBCIkoPOPCDLUxGuWNvyo,1
416,0J7U24vlOOIeMpuaO6Q85A,7giUHu5pv6YTZgSkxxCcgh,1
430,0J7U24vlOOIeMpuaO6Q85A,7zsin6IgVsR1rqSRCNYDwq,1
431,0xWTQw2TL6j7mHGOTltsEW,1NRzxuPpdGushT8YmF5NAa,1
432,0xWTQw2TL6j7mHGOTltsEW,0Wt8hmgHtXUgwsLg5NpMZv,1
433,0xWTQw2TL6j7mHGOTltsEW,4jrTNltJtTMUfXybDdsHDn,1
